PatchID	Year_0	Year_10	Year_20	Year_30	Year_40	Year_50	Year_60	Year_70
1	1	0.15	0.27	0.44	0.53	0.54	0.54	0.54
2	0	0.23	0.25	0.41	0.47	0.49	0.51	0.5
4	0	0.02	0.32	0.47	0.51	0.53	0.54	0.54
5	0	0.08	0.31	0.41	0.51	0.51	0.52	0.53
3	0	0.02	0.15	0.28	0.38	0.45	0.49	0.51
6	0	0.01	0.25	0.43	0.49	0.54	0.54	0.54
12	0	0.02	0.13	0.22	0.33	0.41	0.48	0.43
9	0	0.21	0.45	0.54	0.54	0.54	0.54	0.54
7	0	0.04	0.31	0.45	0.52	0.54	0.55	0.55
11	0	0.06	0.28	0.47	0.52	0.52	0.54	0.54
8	0	0.15	0.44	0.52	0.54	0.54	0.54	0.54
10	0	0.13	0.36	0.49	0.53	0.54	0.54	0.53
