Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales_stage1	Nmales_stage1	Nfemales_stage2	Nmales_stage2	NJuvFemales	NJuvMales
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	671	0	2	0	0	1	1	1	3
0	10	0	0	0	0	0	0	0	0	0	0	0
0	10	0	1	671	0	0	0	0	0	0	0	0
0	10	0	2	960	0	4	1	2	0	1	0	0
0	10	0	5	769	0	1	0	0	1	0	0	0
0	10	0	9	1012	0	0	0	0	0	0	0	0
0	10	0	11	406	0	1	0	0	0	1	0	0
0	10	0	8	801	0	8	2	2	3	1	2	0
0	20	0	0	0	0	0	0	0	0	0	0	0
0	20	0	1	671	0	12	2	3	5	2	3	2
0	20	0	2	960	0	1	0	0	0	1	0	0
0	20	0	5	769	0	1	0	0	1	0	0	0
0	20	0	3	325	0	0	0	0	0	0	0	0
0	20	0	6	415	0	3	0	1	1	1	0	0
0	20	0	9	1012	0	16	1	3	7	5	2	0
0	20	0	7	407	0	0	0	0	0	0	0	0
0	20	0	11	406	0	8	1	2	4	1	1	0
0	20	0	8	801	0	6	0	1	2	3	1	0
0	20	0	10	276	0	4	0	0	1	3	0	0
0	30	0	0	0	0	0	0	0	0	0	0	0
0	30	0	1	671	0	15	1	3	6	5	1	0
0	30	0	2	960	0	11	2	1	4	4	3	3
0	30	0	4	293	0	7	1	0	1	5	0	0
0	30	0	5	769	0	18	3	5	4	6	1	0
0	30	0	3	325	0	5	0	0	2	3	0	0
0	30	0	6	415	0	5	0	1	2	2	0	0
0	30	0	9	1012	0	26	3	0	14	9	0	0
0	30	0	7	407	0	5	0	1	0	4	0	0
0	30	0	11	406	0	9	0	1	5	3	1	1
0	30	0	8	801	0	11	0	0	7	4	0	0
0	30	0	10	276	0	10	0	0	4	6	0	0
0	40	0	0	0	0	0	0	0	0	0	0	0
0	40	0	1	671	0	11	1	0	6	4	2	1
0	40	0	2	960	0	17	3	0	9	5	3	5
0	40	0	4	293	0	14	0	0	4	10	0	0
0	40	0	5	769	0	20	4	3	6	7	0	6
0	40	0	3	325	0	5	0	0	2	3	0	0
0	40	0	6	415	0	7	0	1	3	3	0	0
0	40	0	12	191	0	2	0	0	0	2	0	0
0	40	0	9	1012	0	24	0	0	12	12	0	1
0	40	0	7	407	0	7	1	0	2	4	0	0
0	40	0	11	406	0	12	0	0	8	4	0	0
0	40	0	8	801	0	12	0	0	5	7	1	1
0	40	0	10	276	0	11	0	0	5	6	0	0
0	50	0	0	0	0	0	0	0	0	0	0	0
0	50	0	1	671	0	19	0	1	12	6	0	1
0	50	0	2	960	0	16	2	4	6	4	1	2
0	50	0	4	293	0	20	0	0	10	10	0	0
0	50	0	5	769	0	17	1	3	8	5	2	1
0	50	0	3	325	0	5	0	0	2	3	0	2
0	50	0	6	415	0	12	0	1	5	6	0	0
0	50	0	12	191	0	2	0	0	1	1	0	1
0	50	0	9	1012	0	26	0	0	12	14	0	1
0	50	0	7	407	0	6	0	0	1	5	0	0
0	50	0	11	406	0	12	1	2	6	3	1	2
0	50	0	8	801	0	14	0	0	4	10	0	0
0	50	0	10	276	0	14	0	0	5	9	0	0
0	60	0	0	0	0	0	0	0	0	0	0	0
0	60	0	1	671	0	12	1	0	3	8	2	0
0	60	0	2	960	0	19	3	3	7	6	0	0
0	60	0	4	293	0	21	0	0	7	14	0	0
0	60	0	5	769	0	19	2	1	11	5	1	3
0	60	0	3	325	0	11	0	0	3	8	0	0
0	60	0	6	415	0	15	0	0	5	10	0	0
0	60	0	12	191	0	5	1	0	1	3	0	0
0	60	0	9	1012	0	32	0	0	12	20	0	0
0	60	0	7	407	0	6	0	0	1	5	0	0
0	60	0	11	406	0	7	1	0	2	4	0	1
0	60	0	8	801	0	12	0	0	7	5	1	1
0	60	0	10	276	0	9	0	0	1	8	0	0
0	70	0	0	0	0	0	0	0	0	0	0	0
0	70	0	1	671	0	14	0	0	6	8	0	0
0	70	0	2	960	0	18	2	2	5	9	0	0
0	70	0	4	293	0	21	0	1	11	9	0	0
0	70	0	5	769	0	23	5	2	12	4	0	0
0	70	0	3	325	0	9	0	0	3	6	0	0
0	70	0	6	415	0	14	0	0	8	6	0	0
0	70	0	12	191	0	7	0	0	3	4	0	0
0	70	0	9	1012	0	33	0	0	15	18	0	0
0	70	0	7	407	0	9	0	0	1	8	0	0
0	70	0	11	406	0	13	0	0	6	7	0	0
0	70	0	8	801	0	9	0	0	5	4	0	0
0	70	0	10	276	0	10	0	0	2	8	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	671	0	2	0	0	1	1	2	4
1	10	0	0	0	0	0	0	0	0	0	0	0
1	10	0	1	671	0	0	0	0	0	0	0	0
1	10	0	2	960	0	6	1	5	0	0	0	0
1	10	0	12	191	0	0	0	0	0	0	0	0
1	10	0	9	1012	0	1	0	0	0	1	0	0
1	20	0	0	0	0	0	0	0	0	0	0	0
1	20	0	1	671	0	0	0	0	0	0	0	0
1	20	0	2	960	0	0	0	0	0	0	0	0
1	20	0	4	293	0	0	0	0	0	0	0	0
1	20	0	6	415	0	0	0	0	0	0	0	0
1	20	0	12	191	0	0	0	0	0	0	0	0
1	20	0	9	1012	0	11	5	1	3	2	0	1
1	20	0	11	406	0	1	0	0	0	1	0	0
1	20	0	8	801	0	3	0	1	1	1	0	2
1	20	0	10	276	0	1	0	0	1	0	0	0
1	30	0	0	0	0	0	0	0	0	0	0	0
1	30	0	1	671	0	0	0	0	0	0	0	0
1	30	0	2	960	0	0	0	0	0	0	0	0
1	30	0	4	293	0	0	0	0	0	0	0	0
1	30	0	6	415	0	3	1	0	1	1	0	0
1	30	0	12	191	0	0	0	0	0	0	0	0
1	30	0	9	1012	0	12	1	1	7	3	0	3
1	30	0	7	407	0	3	0	0	1	2	0	0
1	30	0	11	406	0	1	0	0	1	0	0	0
1	30	0	8	801	0	11	0	0	7	4	1	0
1	30	0	10	276	0	4	0	0	1	3	0	0
1	40	0	0	0	0	0	0	0	0	0	0	0
1	40	0	1	671	0	15	3	1	9	2	4	1
1	40	0	2	960	0	0	0	0	0	0	0	0
1	40	0	4	293	0	0	0	0	0	0	0	0
1	40	0	5	769	0	1	0	0	1	0	0	0
1	40	0	6	415	0	2	0	0	2	0	0	0
1	40	0	12	191	0	2	0	0	0	2	0	0
1	40	0	9	1012	0	13	0	1	9	3	3	4
1	40	0	7	407	0	7	0	0	4	3	0	0
1	40	0	11	406	0	8	0	1	5	2	1	0
1	40	0	8	801	0	17	0	0	7	10	0	0
1	40	0	10	276	0	9	1	0	3	5	0	0
1	50	0	0	0	0	0	0	0	0	0	0	0
1	50	0	1	671	0	14	3	3	6	2	2	0
1	50	0	2	960	0	0	0	0	0	0	0	0
1	50	0	4	293	0	3	0	0	0	3	0	0
1	50	0	5	769	0	5	1	0	2	2	4	4
1	50	0	3	325	0	2	0	0	0	2	0	0
1	50	0	6	415	0	4	0	0	2	2	0	0
1	50	0	12	191	0	2	0	0	0	2	0	0
1	50	0	9	1012	0	17	1	1	11	4	3	0
1	50	0	7	407	0	9	0	0	3	6	0	0
1	50	0	11	406	0	2	0	0	0	2	0	0
1	50	0	8	801	0	20	0	1	6	13	0	0
1	50	0	10	276	0	12	0	0	4	8	0	0
1	60	0	0	0	0	0	0	0	0	0	0	0
1	60	0	1	671	0	15	3	1	7	4	4	1
1	60	0	2	960	0	0	0	0	0	0	0	0
1	60	0	4	293	0	10	0	0	7	3	0	0
1	60	0	5	769	0	10	1	3	2	4	0	2
1	60	0	3	325	0	0	0	0	0	0	0	0
1	60	0	6	415	0	4	0	0	2	2	0	0
1	60	0	12	191	0	5	1	0	1	3	0	0
1	60	0	9	1012	0	17	3	1	6	7	0	1
1	60	0	7	407	0	9	0	0	1	8	0	0
1	60	0	11	406	0	8	1	0	3	4	0	0
1	60	0	8	801	0	23	0	0	8	15	0	0
1	60	0	10	276	0	13	0	0	4	9	0	0
1	70	0	0	0	0	0	0	0	0	0	0	0
1	70	0	1	671	0	16	1	1	7	7	0	0
1	70	0	2	960	0	2	0	0	2	0	0	0
1	70	0	4	293	0	11	0	0	7	4	0	0
1	70	0	5	769	0	18	4	2	5	7	0	0
1	70	0	3	325	0	0	0	0	0	0	0	0
1	70	0	6	415	0	4	0	0	2	2	0	0
1	70	0	12	191	0	2	0	0	0	2	0	0
1	70	0	9	1012	0	13	1	0	6	6	0	0
1	70	0	7	407	0	10	0	0	4	6	0	0
1	70	0	11	406	0	14	0	0	7	7	0	0
1	70	0	8	801	0	22	0	0	8	14	0	0
1	70	0	10	276	0	14	0	0	6	8	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	1	671	0	2	0	0	1	1	0	3
2	10	0	0	0	0	0	0	0	0	0	0	0
2	10	0	1	671	0	0	0	0	0	0	0	0
2	10	0	2	960	0	4	1	1	1	1	2	1
2	10	0	6	415	0	0	0	0	0	0	0	0
2	10	0	10	276	0	1	0	0	0	1	0	0
2	20	0	0	0	0	0	0	0	0	0	0	0
2	20	0	1	671	0	0	0	0	0	0	0	0
2	20	0	2	960	0	0	0	0	0	0	0	0
2	20	0	6	415	0	0	0	0	0	0	0	0
2	20	0	9	1012	0	2	0	0	0	2	0	0
2	20	0	7	407	0	0	0	0	0	0	0	0
2	20	0	11	406	0	12	5	4	2	1	1	0
2	20	0	10	276	0	4	0	0	2	2	0	0
2	30	0	0	0	0	0	0	0	0	0	0	0
2	30	0	1	671	0	2	0	0	2	0	0	0
2	30	0	2	960	0	6	3	0	2	1	2	1
2	30	0	4	293	0	4	1	1	1	1	0	0
2	30	0	5	769	0	1	0	1	0	0	0	0
2	30	0	3	325	0	2	0	0	0	2	0	0
2	30	0	6	415	0	0	0	0	0	0	0	0
2	30	0	9	1012	0	17	3	10	2	2	0	0
2	30	0	7	407	0	1	0	0	0	1	0	0
2	30	0	11	406	0	7	1	0	5	1	1	0
2	30	0	8	801	0	2	0	0	0	2	0	0
2	30	0	10	276	0	4	0	0	2	2	0	0
2	40	0	0	0	0	0	0	0	0	0	0	0
2	40	0	1	671	0	13	1	2	6	4	1	2
2	40	0	2	960	0	16	5	1	7	3	1	2
2	40	0	4	293	0	9	0	1	3	5	0	0
2	40	0	5	769	0	15	2	2	7	4	5	1
2	40	0	3	325	0	6	1	0	0	5	0	0
2	40	0	6	415	0	5	0	0	4	1	0	0
2	40	0	12	191	0	7	0	0	2	5	0	0
2	40	0	9	1012	0	17	1	0	12	4	0	3
2	40	0	7	407	0	4	0	0	3	1	0	0
2	40	0	11	406	0	9	2	4	3	0	0	0
2	40	0	8	801	0	15	0	0	4	11	0	0
2	40	0	10	276	0	11	0	0	5	6	0	0
2	50	0	0	0	0	0	0	0	0	0	0	0
2	50	0	1	671	0	14	2	1	4	7	1	0
2	50	0	2	960	0	16	3	2	6	5	4	2
2	50	0	4	293	0	24	0	2	10	12	0	0
2	50	0	5	769	0	20	4	4	7	5	2	4
2	50	0	3	325	0	10	0	0	3	7	0	0
2	50	0	6	415	0	11	0	0	5	6	0	0
2	50	0	12	191	0	7	0	0	1	6	0	0
2	50	0	9	1012	0	27	0	0	18	9	0	0
2	50	0	7	407	0	6	0	0	4	2	0	0
2	50	0	11	406	0	13	2	1	8	2	0	1
2	50	0	8	801	0	17	0	0	8	9	0	0
2	50	0	10	276	0	20	0	0	9	11	0	0
2	60	0	0	0	0	0	0	0	0	0	0	0
2	60	0	1	671	0	17	1	1	6	9	0	0
2	60	0	2	960	0	20	2	4	7	7	2	1
2	60	0	4	293	0	17	0	0	6	11	0	0
2	60	0	5	769	0	13	0	1	4	8	1	1
2	60	0	3	325	0	11	0	0	6	5	0	0
2	60	0	6	415	0	20	0	0	10	10	0	0
2	60	0	12	191	0	8	0	0	4	4	0	0
2	60	0	9	1012	0	27	1	0	18	8	2	0
2	60	0	7	407	0	6	0	0	3	3	0	0
2	60	0	11	406	0	12	0	1	5	6	0	0
