Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	2	0	2	4	1	0.0833333	16687	18987	33087	35037
0	10	0	14	7	7	2	1	0.0833333	33137	39487	16137	18787
0	20	0	51	14	37	9	6	0.5	16687	45587	13237	35037
0	30	0	122	22	100	10	10	0.833333	16687	45587	13237	35037
0	40	0	142	13	129	20	11	0.916667	16687	45637	13237	35037
0	50	0	163	15	148	14	12	1	16687	45637	13237	35037
0	60	0	168	12	156	9	12	1	16687	45637	13237	35037
0	70	0	180	12	168	0	12	1	16687	45637	13237	35037
1	0	0	2	0	2	6	1	0.0833333	16687	18987	33087	35037
1	10	0	7	6	1	0	0	0	60337	37	37987	37
1	20	0	16	7	9	3	2	0.166667	28937	39487	16137	22587
1	30	0	34	3	31	4	5	0.416667	25337	45637	13237	28087
1	40	0	74	7	67	13	6	0.5	16687	45637	13237	35037
1	50	0	90	10	80	13	7	0.583333	16687	45637	13237	35037
1	60	0	114	14	100	8	10	0.833333	16687	45637	13237	35037
1	70	0	126	9	117	0	9	0.75	16687	45637	13237	35037
2	0	0	2	0	2	3	1	0.0833333	16687	18987	33087	35037
2	10	0	5	2	3	3	1	0.0833333	42687	45537	30087	31487
2	20	0	18	9	9	1	2	0.166667	19487	29437	13237	21137
2	30	0	46	20	26	4	5	0.416667	19487	45537	13237	31487
2	40	0	127	22	105	15	10	0.833333	16687	45637	13237	35037
2	50	0	185	21	164	14	12	1	16687	45637	13237	35037
2	60	0	186	12	174	7	12	1	16687	45637	13237	35037
2	70	0	183	13	170	0	12	1	16687	45637	13237	35037
3	0	0	2	0	2	3	1	0.0833333	16687	18987	33087	35037
3	10	0	24	8	16	6	3	0.25	16687	39487	16137	35037
3	20	0	51	14	37	17	5	0.416667	25337	45537	13237	31487
3	30	0	124	20	104	15	11	0.916667	16687	45587	13237	35037
3	40	0	157	8	149	14	12	1	16687	45637	13237	35037
3	50	0	165	9	156	13	11	0.916667	16687	45637	13237	35037
3	60	0	171	8	163	9	12	1	16687	45637	13237	35037
3	70	0	182	20	162	0	12	1	16687	45637	13237	35037
4	0	0	2	0	2	8	1	0.0833333	16687	18987	33087	35037
4	10	0	44	16	28	10	6	0.5	16687	45637	13237	35037
4	20	0	112	20	92	11	11	0.916667	16687	45637	13237	35037
4	30	0	173	24	149	10	11	0.916667	16687	45637	13237	35037
4	40	0	190	11	179	23	12	1	16687	45637	13237	35037
4	50	0	182	10	172	13	12	1	16687	45637	13237	35037
4	60	0	201	24	177	11	12	1	16687	45637	13237	35037
4	70	0	203	11	192	0	12	1	16687	45637	13237	35037
5	0	0	2	0	2	1	1	0.0833333	16687	18987	33087	35037
5	7	0	0	0	0	0	0	0	0	0	0	0
6	0	0	2	0	2	4	1	0.0833333	16687	18987	33087	35037
6	10	0	8	7	1	0	0	0	60337	37	37987	37
6	20	0	9	0	9	0	1	0.0833333	42787	45637	19487	21937
6	30	0	6	0	6	0	1	0.0833333	42787	45637	19487	21937
6	40	0	2	0	2	0	1	0.0833333	42787	45637	19487	21937
6	50	0	2	0	2	0	1	0.0833333	42787	45637	19487	21937
6	60	0	2	0	2	0	1	0.0833333	42787	45637	19487	21937
6	70	0	2	0	2	0	1	0.0833333	42787	45637	19487	21937
7	0	0	2	0	2	4	1	0.0833333	16687	18987	33087	35037
7	10	0	14	8	6	0	1	0.0833333	33137	39487	16137	18787
7	20	0	45	7	38	1	6	0.5	25337	45587	13237	30987
7	30	0	110	24	86	6	10	0.833333	16687	45637	13237	35037
7	40	0	149	17	132	17	12	1	16687	45637	13237	35037
7	50	0	167	14	153	8	12	1	16687	45637	13237	35037
7	60	0	179	9	170	5	11	0.916667	16687	45637	13237	35037
7	70	0	182	10	172	0	10	0.833333	16687	45637	13237	35037
8	0	0	2	0	2	6	1	0.0833333	16687	18987	33087	35037
8	10	0	19	7	12	2	3	0.25	19487	45537	13237	31487
8	20	0	68	14	54	9	8	0.666667	16687	45637	16137	35037
8	30	0	105	16	89	23	11	0.916667	16687	45637	13237	35037
8	40	0	143	17	126	12	12	1	16687	45637	13237	35037
8	50	0	160	19	141	8	12	1	16687	45637	13237	35037
8	60	0	182	17	165	11	12	1	16687	45637	13237	35037
8	70	0	201	18	183	0	12	1	16687	45637	13237	35037
9	0	0	2	0	2	5	1	0.0833333	16687	18987	33087	35037
9	10	0	9	3	6	3	1	0.0833333	42687	45537	30087	31487
9	20	0	6	1	5	1	1	0.0833333	35437	37137	28937	30987
9	30	0	6	0	6	0	0	0	60337	37	37987	37
9	40	0	3	0	3	0	0	0	60337	37	37987	37
9	50	0	2	0	2	0	0	0	60337	37	37987	37
9	60	0	1	0	1	0	0	0	60337	37	37987	37
9	65	0	0	0	0	0	0	0	0	0	0	0
10	0	0	2	0	2	1	1	0.0833333	16687	18987	33087	35037
10	6	0	0	0	0	0	0	0	0	0	0	0
11	0	0	2	0	2	0	1	0.0833333	16687	18987	33087	35037
11	7	0	0	0	0	0	0	0	0	0	0	0
12	0	0	2	0	2	4	1	0.0833333	16687	18987	33087	35037
12	10	0	6	4	2	0	0	0	60337	37	37987	37
12	20	0	1	0	1	0	0	0	60337	37	37987	37
12	24	0	0	0	0	0	0	0	0	0	0	0
13	0	0	2	0	2	3	1	0.0833333	16687	18987	33087	35037
13	10	0	6	3	3	3	1	0.0833333	16687	18987	33087	35037
13	20	0	54	16	38	13	7	0.583333	16687	45587	13237	35037
13	30	0	128	18	110	18	12	1	16687	45637	13237	35037
13	40	0	151	14	137	10	12	1	16687	45637	13237	35037
13	50	0	175	21	154	22	12	1	16687	45637	13237	35037
13	60	0	180	27	153	4	12	1	16687	45637	13237	35037
13	70	0	170	17	153	0	12	1	16687	45637	13237	35037
14	0	0	2	0	2	0	1	0.0833333	16687	18987	33087	35037
14	2	0	0	0	0	0	0	0	0	0	0	0
15	0	0	2	0	2	1	1	0.0833333	16687	18987	33087	35037
15	10	0	8	2	6	0	1	0.0833333	25337	29437	13237	16387
15	20	0	11	1	10	0	2	0.166667	25337	39487	13237	18787
15	30	0	6	0	6	0	1	0.0833333	25337	29437	13237	16387
15	40	0	2	0	2	0	0	0	60337	37	37987	37
15	50	0	2	0	2	0	0	0	60337	37	37987	37
15	60	0	2	0	2	0	0	0	60337	37	37987	37
15	70	0	1	0	1	0	0	0	60337	37	37987	37
16	0	0	2	0	2	4	1	0.0833333	16687	18987	33087	35037
16	10	0	7	2	5	4	1	0.0833333	42687	45537	30087	31487
16	20	0	77	20	57	24	7	0.583333	16687	45537	13237	35037
16	30	0	139	7	132	14	11	0.916667	16687	45637	13237	35037
16	40	0	142	13	129	14	11	0.916667	16687	45637	13237	35037
16	50	0	158	10	148	19	12	1	16687	45637	13237	35037
16	60	0	174	17	157	15	11	0.916667	16687	45637	13237	35037
16	70	0	182	16	166	0	12	1	16687	45637	13237	35037
17	0	0	2	0	2	2	1	0.0833333	16687	18987	33087	35037
17	10	0	3	2	1	0	0	0	60337	37	37987	37
17	20	0	15	7	8	2	3	0.25	25337	40537	13237	30537
17	30	0	31	7	24	4	4	0.333333	25337	40537	13237	30537
17	40	0	46	11	35	6	4	0.333333	16687	39487	13237	35037
17	50	0	71	10	61	8	8	0.666667	16687	45587	13237	35037
17	60	0	96	14	82	8	9	0.75	16687	45637	13237	35037
17	70	0	130	15	115	0	10	0.833333	16687	45637	13237	35037
18	0	0	2	0	2	3	1	0.0833333	16687	18987	33087	35037
18	7	0	0	0	0	0	0	0	0	0	0	0
19	0	0	2	0	2	2	1	0.0833333	16687	18987	33087	35037
19	10	0	2	0	2	0	0	0	60337	37	37987	37
19	11	0	0	0	0	0	0	0	0	0	0	0
20	0	0	2	0	2	2	1	0.0833333	16687	18987	33087	35037
20	10	0	4	1	3	5	1	0.0833333	28937	34587	16687	22587
20	20	0	28	6	22	4	3	0.25	28937	45637	16137	22587
20	30	0	58	4	54	4	7	0.583333	16687	45637	13237	35037
20	40	0	88	10	78	9	9	0.75	16687	45637	13237	35037
20	50	0	143	21	122	22	12	1	16687	45637	13237	35037
20	60	0	175	17	158	10	12	1	16687	45637	13237	35037
20	70	0	192	17	175	0	12	1	16687	45637	13237	35037
21	0	0	2	0	2	2	1	0.0833333	16687	18987	33087	35037
21	10	0	7	5	2	0	0	0	60337	37	37987	37
21	20	0	28	12	16	5	3	0.25	19487	39487	16137	30587
21	30	0	81	15	66	7	8	0.666667	16687	45637	13237	35037
21	40	0	112	10	102	20	10	0.833333	16687	45637	13237	35037
21	50	0	139	17	122	12	11	0.916667	16687	45637	13237	35037
21	60	0	136	10	126	20	12	1	16687	45637	13237	35037
21	70	0	158	15	143	0	12	1	16687	45637	13237	35037
22	0	0	2	0	2	3	1	0.0833333	16687	18987	33087	35037
22	10	0	6	4	2	0	0	0	60337	37	37987	37
22	20	0	38	13	25	13	5	0.416667	28937	45537	16137	31487
22	30	0	109	19	90	15	10	0.833333	19487	45637	13237	31487
22	40	0	162	18	144	11	12	1	16687	45637	13237	35037
22	50	0	186	17	169	12	12	1	16687	45637	13237	35037
22	60	0	176	11	165	15	12	1	16687	45637	13237	35037
22	70	0	178	15	163	0	12	1	16687	45637	13237	35037
23	0	0	2	0	2	3	1	0.0833333	16687	18987	33087	35037
23	5	0	0	0	0	0	0	0	0	0	0	0
24	0	0	2	0	2	2	1	0.0833333	16687	18987	33087	35037
24	10	0	3	1	2	0	0	0	60337	37	37987	37
24	12	0	0	0	0	0	0	0	0	0	0	0
25	0	0	2	0	2	3	1	0.0833333	16687	18987	33087	35037
25	10	0	4	2	2	0	0	0	60337	37	37987	37
25	20	0	2	0	2	0	0	0	60337	37	37987	37
25	30	0	1	0	1	0	0	0	60337	37	37987	37
25	36	0	0	0	0	0	0	0	0	0	0	0
26	0	0	2	0	2	3	1	0.0833333	16687	18987	33087	35037
26	9	0	0	0	0	0	0	0	0	0	0	0
27	0	0	2	0	2	8	1	0.0833333	16687	18987	33087	35037
27	10	0	8	4	4	0	1	0.0833333	25337	29437	13237	16387
27	20	0	6	0	6	0	1	0.0833333	25337	29437	13237	16387
27	30	0	4	0	4	0	1	0.0833333	25337	29437	13237	16387
27	40	0	2	0	2	0	0	0	60337	37	37987	37
27	50	0	2	0	2	0	0	0	60337	37	37987	37
27	60	0	0	0	0	0	0	0	0	0	0	0
28	0	0	2	0	2	5	1	0.0833333	16687	18987	33087	35037
28	10	0	37	17	20	3	3	0.25	16687	39487	16137	35037
28	20	0	77	12	65	8	9	0.75	16687	45637	13237	35037
28	30	0	112	10	102	14	11	0.916667	16687	45637	13237	35037
28	40	0	142	18	124	10	11	0.916667	16687	45637	13237	35037
28	50	0	162	6	156	19	11	0.916667	16687	45637	13237	35037
28	60	0	187	12	175	15	12	1	16687	45637	13237	35037
28	70	0	205	15	190	0	12	1	16687	45637	13237	35037
29	0	0	2	0	2	5	1	0.0833333	16687	18987	33087	35037
29	10	0	8	6	2	0	0	0	60337	37	37987	37
29	20	0	49	13	36	9	7	0.583333	16687	45587	16137	35037
29	30	0	130	24	106	17	11	0.916667	16687	45637	13237	35037
29	40	0	184	30	154	20	12	1	16687	45637	13237	35037
29	50	0	190	19	171	11	12	1	16687	45637	13237	35037
29	60	0	189	13	176	15	12	1	16687	45637	13237	35037
29	70	0	202	22	180	0	11	0.916667	16687	45637	13237	35037
30	0	0	2	0	2	3	1	0.0833333	16687	18987	33087	35037
30	5	0	0	0	0	0	0	0	0	0	0	0
31	0	0	2	0	2	1	1	0.0833333	16687	18987	33087	35037
31	3	0	0	0	0	0	0	0	0	0	0	0
32	0	0	2	0	2	2	1	0.0833333	16687	18987	33087	35037
32	6	0	0	0	0	0	0	0	0	0	0	0
33	0	0	2	0	2	5	1	0.0833333	16687	18987	33087	35037
33	8	0	0	0	0	0	0	0	0	0	0	0
34	0	0	2	0	2	2	1	0.0833333	16687	18987	33087	35037
34	10	0	7	3	4	0	0	0	60337	37	37987	37
34	20	0	23	3	20	9	4	0.333333	19487	45587	16137	28087
34	30	0	50	15	35	4	5	0.416667	19487	45587	16137	30587
34	40	0	113	8	105	18	9	0.75	16687	45587	13237	35037
34	50	0	143	17	126	16	11	0.916667	16687	45637	13237	35037
34	60	0	165	13	152	18	11	0.916667	16687	45637	13237	35037
34	70	0	190	32	158	0	11	0.916667	16687	45637	13237	35037
35	0	0	2	0	2	4	1	0.0833333	16687	18987	33087	35037
35	10	0	5	4	1	0	0	0	60337	37	37987	37
35	20	0	13	3	10	8	2	0.166667	28937	37137	16687	30987
35	30	0	73	23	50	9	8	0.666667	19487	45587	13237	31487
35	40	0	141	23	118	16	11	0.916667	16687	45637	13237	35037
35	50	0	168	25	143	8	11	0.916667	16687	45637	13237	35037
35	60	0	193	17	176	8	12	1	16687	45637	13237	35037
35	70	0	197	20	177	0	12	1	16687	45637	13237	35037
36	0	0	2	0	2	5	1	0.0833333	16687	18987	33087	35037
36	10	0	3	1	2	0	0	0	60337	37	37987	37
36	20	0	1	0	1	0	0	0	60337	37	37987	37
36	30	0	1	0	1	0	0	0	60337	37	37987	37
36	40	0	1	0	1	0	0	0	60337	37	37987	37
36	50	0	1	0	1	0	0	0	60337	37	37987	37
36	60	0	1	0	1	0	0	0	60337	37	37987	37
36	70	0	1	0	1	0	0	0	60337	37	37987	37
37	0	0	2	0	2	3	1	0.0833333	16687	18987	33087	35037
37	10	0	22	8	14	19	4	0.333333	16687	45537	29087	35037
37	20	0	78	6	72	18	10	0.833333	16687	45637	13237	35037
37	30	0	122	17	105	12	12	1	16687	45637	13237	35037
37	40	0	172	24	148	12	12	1	16687	45637	13237	35037
37	50	0	192	22	170	10	12	1	16687	45637	13237	35037
37	60	0	204	20	184	10	12	1	16687	45637	13237	35037
37	70	0	209	19	190	0	12	1	16687	45637	13237	35037
38	0	0	2	0	2	4	1	0.0833333	16687	18987	33087	35037
38	10	0	15	6	9	5	2	0.166667	25337	34587	13237	22587
38	20	0	42	14	28	4	5	0.416667	19487	39487	13237	30587
38	30	0	104	18	86	25	10	0.833333	16687	45587	13237	35037
38	40	0	155	14	141	15	10	0.833333	16687	45587	13237	35037
38	50	0	162	20	142	19	11	0.916667	16687	45637	13237	35037
38	60	0	179	13	166	7	12	1	16687	45637	13237	35037
